"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.842593000E0,1.199587993E-2,2.416392043E-2,-3.716298379E-4,2.698025750E-2
1.852618000E0,3.216479719E-2,1.956890151E-2,-7.647119462E-3,3.841867411E-2
1.862642000E0,4.350627959E-2,1.353117079E-2,-1.431149337E-2,4.775675647E-2
1.872667000E0,4.894578457E-2,3.305164631E-3,-2.163678408E-2,5.361682913E-2
1.882692000E0,5.304699019E-2,-1.257610694E-2,-2.300123870E-2,5.917092711E-2
1.892717000E0,5.173458531E-2,-1.369463373E-2,-2.113915794E-2,5.754019733E-2
1.902742000E0,4.971734434E-2,-2.048092522E-2,-1.204220299E-2,5.510260683E-2
1.912766000E0,4.432604089E-2,-2.190784737E-2,-3.043914447E-3,4.953803683E-2
1.922791000E0,3.968220204E-2,-1.705757715E-2,2.433074173E-3,4.326150653E-2
1.932816000E0,2.916058898E-2,-9.972505271E-3,9.808698669E-3,3.234194460E-2
1.942841000E0,1.060657110E-2,-1.491046324E-2,1.401584037E-2,2.304918753E-2
1.952865000E0,-8.999354206E-3,-2.759802900E-2,1.060246676E-2,3.090391371E-2
1.962890000E0,-3.279547766E-2,-3.568968177E-2,2.806921955E-3,4.855075232E-2
1.972915000E0,-4.555867985E-2,-2.382796071E-2,-1.518498175E-4,5.141388995E-2
1.982940000E0,-4.716765508E-2,-5.764823407E-3,5.738282111E-3,4.786385647E-2
1.992965000E0,-4.126236215E-2,6.351760123E-3,1.861173660E-2,4.570912520E-2
2.002989000E0,-2.507093921E-2,8.578645997E-3,2.302458696E-2,3.510379986E-2
2.013014000E0,-9.764153510E-3,9.098228998E-3,2.738125250E-2,3.046062135E-2
2.023039000E0,3.549603280E-3,2.694741264E-2,3.101307154E-2,4.123800841E-2
2.033064000E0,1.397215016E-2,3.858276084E-2,3.771811351E-2,5.573604311E-2
2.043089000E0,2.764434740E-2,3.560805693E-2,3.724499047E-2,5.847506286E-2
2.053113000E0,4.311838001E-2,3.132755682E-2,3.330856934E-2,6.284959270E-2
2.063138000E0,5.869187042E-2,2.431261539E-2,2.248028293E-2,6.738844145E-2
2.073163000E0,6.360939890E-2,1.517264545E-2,1.626925915E-2,6.738734000E-2
2.083188000E0,6.156050786E-2,9.898437187E-3,1.656650007E-2,6.451452636E-2
2.093212000E0,5.425092578E-2,9.084841236E-3,2.270961180E-2,5.950986268E-2
2.103237000E0,3.934722021E-2,-1.200910890E-3,2.752900496E-2,4.803636164E-2
2.113262000E0,1.600088552E-2,-2.595075872E-3,3.602369130E-2,3.950277320E-2
2.123287000E0,-5.952289328E-3,9.989468381E-3,4.053147882E-2,4.216657447E-2
2.133311000E0,-2.738115005E-2,1.626121253E-2,4.058447480E-2,5.158734347E-2
2.143336000E0,-4.848817363E-2,1.719977893E-2,4.263715819E-2,6.681962762E-2
2.153361000E0,-6.067213416E-2,1.054267492E-2,4.399377480E-2,7.568162313E-2
2.163386000E0,-6.430366635E-2,9.723570198E-3,4.421805218E-2,7.864315267E-2
2.173411000E0,-6.731569767E-2,1.150229573E-2,4.360312596E-2,8.102430841E-2
2.183435000E0,-6.641956419E-2,1.373657025E-2,4.644685239E-2,8.220439140E-2
2.193460000E0,-5.649396405E-2,2.579802647E-2,4.243187234E-2,7.521681949E-2
2.203485000E0,-3.148774430E-2,2.351247333E-2,2.877111360E-2,4.870412119E-2
2.213510000E0,-1.089698076E-2,1.653872058E-2,3.228994831E-2,3.788026175E-2
2.223534000E0,5.102042109E-3,9.616230614E-3,4.220065847E-2,4.358208692E-2
2.233559000E0,1.611820795E-2,8.059347048E-3,4.799676314E-2,5.126830380E-2
2.243584000E0,1.677131653E-2,5.011341535E-3,4.892862216E-2,5.196537952E-2
2.253609000E0,9.966940619E-3,-7.805387489E-3,3.127532452E-2,3.374033051E-2
2.263634000E0,-5.823945161E-3,-3.541220352E-2,4.891506862E-3,3.621973681E-2
2.273658000E0,-3.345237672E-2,-5.590469763E-2,5.721254274E-4,6.515154682E-2
2.283683000E0,-5.429306626E-2,-5.047938228E-2,-6.567360833E-4,7.413728065E-2
2.293708000E0,-5.609469488E-2,-3.870874271E-2,-7.889082655E-3,6.860917709E-2
2.303733000E0,-4.608682171E-2,-4.231582582E-2,-2.272401564E-2,6.656579554E-2
2.313757000E0,-3.013422154E-2,-5.133648217E-2,-3.584301099E-2,6.948544557E-2
2.323782000E0,-1.991436258E-2,-5.265725404E-2,-4.015184939E-2,6.914867496E-2
2.333807000E0,-2.153915726E-2,-5.138426274E-2,-4.015264660E-2,6.867687225E-2
2.343832000E0,-1.611587405E-2,-6.276918203E-2,-4.856737703E-2,8.098445357E-2
2.353857000E0,-9.755980223E-3,-6.795728952E-2,-5.854650959E-2,9.022785675E-2
2.363881000E0,-2.766554710E-3,-5.470506102E-2,-5.432327837E-2,7.714477363E-2
2.373906000E0,3.215970472E-3,-4.845728725E-2,-5.888500437E-2,7.632755003E-2
2.383931000E0,7.593081333E-3,-4.554623738E-2,-5.997158587E-2,7.568821398E-2
2.393956000E0,8.591500111E-3,-4.626262560E-2,-5.227931216E-2,7.033612786E-2
2.403980000E0,1.382561494E-2,-3.869795054E-2,-3.558338434E-2,5.435858943E-2
2.414005000E0,1.278032456E-2,-3.413196281E-2,-3.036518395E-2,4.743808572E-2
2.424030000E0,5.579464603E-3,-3.790828213E-2,-2.216386236E-2,4.426516773E-2
2.434055000E0,-1.845902763E-2,-5.472534522E-2,-1.509636641E-2,5.969505331E-2
2.444080000E0,-4.865773395E-2,-6.937917322E-2,-1.239246689E-2,8.564238428E-2
2.454104000E0,-6.820134073E-2,-9.322938323E-2,-2.166825533E-2,1.175272482E-1
2.464129000E0,-7.180699706E-2,-1.039454043E-1,-3.429681063E-2,1.309089879E-1
2.474154000E0,-6.346917152E-2,-9.686778486E-2,-4.162609577E-2,1.230627292E-1
2.484179000E0,-4.253803566E-2,-8.110070974E-2,-4.028113931E-2,1.000468879E-1
2.494203000E0,-1.883244142E-2,-6.481361389E-2,-3.457664698E-2,7.583541331E-2
2.504228000E0,-1.516025048E-2,-6.258767843E-2,-3.010867350E-2,7.108855679E-2
2.514253000E0,-3.442075569E-3,-6.596563011E-2,-4.832229763E-2,8.184348898E-2
2.524278000E0,5.742717534E-3,-1.105252355E-1,-6.073884293E-2,1.262458456E-1
2.534303000E0,5.746711977E-3,-1.098352075E-1,-7.164155692E-2,1.312604669E-1
2.544327000E0,1.168207731E-2,-1.028988361E-1,-8.402968198E-2,1.333627717E-1
2.554352000E0,2.053069696E-2,-9.985136986E-2,-8.749125898E-2,1.343373588E-1
2.564377000E0,2.966492996E-2,-5.743433908E-2,-7.123461366E-2,9.619293923E-2
2.574402000E0,4.058761895E-2,1.783573534E-4,-5.405508727E-2,6.759688663E-2
2.584426000E0,4.936609417E-2,3.677234426E-2,-4.162517935E-2,7.430930031E-2
2.594451000E0,5.553690344E-2,6.615873426E-2,-2.424325794E-2,8.971656100E-2
2.604476000E0,4.190309718E-2,6.519749761E-2,-3.954715561E-3,7.760298334E-2
2.614501000E0,7.097445428E-3,5.928793922E-2,1.955904067E-3,5.974327602E-2
2.624525000E0,-3.256820887E-2,3.728729859E-2,1.959366258E-3,4.954664450E-2
2.634550000E0,-7.765019685E-2,5.697414745E-3,2.903989051E-3,7.791307180E-2
2.644575000E0,-1.239381209E-1,-9.171340615E-3,-1.503972802E-3,1.242860943E-1
2.654600000E0,-1.484740973E-1,-7.297807373E-3,-1.067217067E-2,1.490359379E-1
2.664625000E0,-1.489782929E-1,-4.769684747E-3,-2.347416803E-2,1.508917434E-1
2.674649000E0,-1.240931898E-1,-1.582846232E-2,-3.697506338E-2,1.304485159E-1
2.684674000E0,-9.716013074E-2,-2.940163016E-2,-5.062903836E-2,1.134365302E-1
2.694699000E0,-6.619288772E-2,-3.080112115E-2,-5.078776553E-2,8.893595773E-2
2.704724000E0,-3.182586282E-2,-2.592887543E-2,-3.771978989E-2,5.574921233E-2
2.714748000E0,3.555298783E-3,-9.055887349E-3,-2.298984677E-2,2.496361952E-2
2.724773000E0,3.620163724E-2,1.040852908E-2,-4.487594590E-3,3.793460849E-2
2.734798000E0,5.419368669E-2,3.187467158E-2,1.717855223E-2,6.517708970E-2
2.744823000E0,5.626257509E-2,3.015178815E-2,2.663333528E-2,6.916604826E-2
2.754848000E0,4.078987613E-2,1.551904902E-2,3.174101189E-2,5.396430962E-2
2.764872000E0,2.520181984E-2,1.377473120E-2,3.276307508E-2,4.356941624E-2
2.774897000E0,1.179253869E-2,1.366474293E-2,2.676377445E-2,3.228140008E-2
2.784922000E0,8.201142773E-3,1.616430841E-2,1.503380015E-2,2.354907124E-2
2.794947000E0,8.386764675E-3,1.321405824E-2,1.414110884E-2,2.109312960E-2
2.804971000E0,1.015172247E-2,1.535618491E-2,1.868905872E-2,2.623262854E-2
2.814996000E0,6.568440236E-3,1.004983671E-2,2.939496748E-2,3.175228713E-2
2.825024417E0,1.114511630E-3,-3.931166604E-3,2.619714104E-2,2.651389080E-2
2.835049417E0,-6.158048753E-3,-1.886564121E-2,1.973045245E-2,2.798436593E-2
2.845073417E0,-5.507397465E-3,-3.017747775E-2,2.106912620E-2,3.721450885E-2
2.855098417E0,1.058262214E-2,-2.748688683E-2,1.726719737E-2,3.414201142E-2
2.865123417E0,3.475222364E-2,-2.019181848E-2,1.574244909E-2,4.316539453E-2
2.875148417E0,6.816291064E-2,-1.519413106E-2,6.933244877E-3,7.017915567E-2
2.885173417E0,8.882363141E-2,-1.136091352E-2,9.292364120E-4,8.955205934E-2
2.895197417E0,9.186922014E-2,-1.139846351E-2,4.208653234E-3,9.266925780E-2
2.905222417E0,7.331049442E-2,-1.283424255E-2,1.424265467E-2,7.577598291E-2
2.915247417E0,4.935509712E-2,-2.011106536E-2,1.735615730E-2,5.605012718E-2
2.925272417E0,2.586795762E-2,-3.177422285E-2,2.958215773E-2,5.053569556E-2
2.935296417E0,2.636937890E-3,-3.432872891E-2,3.870614618E-2,5.180328969E-2
2.945321417E0,-1.009919960E-2,-3.003569506E-2,4.065982252E-2,5.154956817E-2
2.955346417E0,2.507406054E-3,-2.393599041E-2,2.987828106E-2,3.836574515E-2
