"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.004548167E0,-5.402265930E-1,1.905537415E0,9.636810150E0,9.838243109E0
3.014527167E0,-5.279521179E-1,1.901795197E0,9.648485870E0,9.848291121E0
3.024506167E0,-5.084925842E-1,1.892813873E0,9.635912018E0,9.833214606E0
3.034485167E0,-5.022056580E-1,1.888173523E0,9.609417114E0,9.806034216E0
3.044464167E0,-4.935237122E-1,1.891616364E0,9.585317230E0,9.782642001E0
3.054443167E0,-4.812492371E-1,1.876797180E0,9.550290070E0,9.744845247E0
3.064422167E0,-4.828958130E-1,1.868713989E0,9.522298279E0,9.715937672E0
3.074402167E0,-4.866380310E-1,1.879192200E0,9.525441742E0,9.721225246E0
3.084381167E0,-5.099894714E-1,1.856888580E0,9.491911469E0,9.685272726E0
3.094360167E0,-4.998106384E-1,1.827998657E0,9.473948822E0,9.661630093E0
3.104339167E0,-5.063969421E-1,1.789977722E0,9.492210846E0,9.672772346E0
3.114318167E0,-4.813989258E-1,1.770069122E0,9.504335632E0,9.679735814E0
3.124297167E0,-4.538562012E-1,1.772763519E0,9.519005127E0,9.693303593E0
3.134276167E0,-4.087998962E-1,1.761237488E0,9.535620575E0,9.705520831E0
3.144255167E0,-3.724255371E-1,1.723964996E0,9.556277618E0,9.717674517E0
3.154234167E0,-3.399430847E-1,1.715881805E0,9.519005127E0,9.678391926E0
3.164213167E0,-3.626957703E-1,1.689985657E0,9.499096527E0,9.655072997E0
3.174192167E0,-3.873944092E-1,1.689536591E0,9.476792908E0,9.634013293E0
3.184172167E0,-3.847000122E-1,1.706451416E0,9.435628510E0,9.596408490E0
3.194151167E0,-3.567082214E-1,1.740131378E0,9.414672089E0,9.580780162E0
3.204130167E0,-3.375480652E-1,1.756896515E0,9.407936096E0,9.576527849E0
3.214109167E0,-3.269201660E-1,1.778302002E0,9.393266602E0,9.565703960E0
